[INFO ] 2021-05-10 10:54:33.282 [http-nio-8881-exec-6] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 10:54:47.402 [http-nio-8881-exec-3] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 10:54:55.906 [http-nio-8881-exec-2] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 10:55:00.601 [http-nio-8881-exec-7] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 10:55:05.080 [http-nio-8881-exec-9] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 10:55:23.812 [http-nio-8881-exec-8] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 10:56:00.491 [http-nio-8881-exec-4] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 10:56:11.923 [http-nio-8881-exec-5] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 10:56:18.722 [http-nio-8881-exec-7] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 10:56:25.307 [http-nio-8881-exec-9] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 10:56:40.508 [http-nio-8881-exec-8] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 10:56:47.098 [http-nio-8881-exec-4] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 10:57:32.902 [http-nio-8881-exec-5] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 10:57:47.632 [http-nio-8881-exec-7] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 10:58:49.472 [http-nio-8881-exec-1] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 11:00:07.901 [http-nio-8881-exec-4] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 11:01:41.343 [http-nio-8881-exec-2] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 11:02:27.123 [http-nio-8881-exec-4] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 11:02:34.138 [http-nio-8881-exec-3] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
[INFO ] 2021-05-10 11:02:50.648 [http-nio-8881-exec-1] ApiServiceImpl - in getTaxiInfo vinXW8ZZZ7PZDG005302
